Date,Nifty 50 Open,Nifty 50 High,Nifty 50 Low,Nifty 50 Close,Nifty 50 Shares Traded,Nifty 50 Turnover (Rs. Cr),Nifty 50 P/E,Nifty 50 P/B,Nifty 50 Div Ratio,Bond Price,Bond Open,Bond High,Bond Low,Bond Change %,GOLD Traded,GOLD  Value (Lacs),OIL Traded ,Oil Value (Lacs),INR-USD Conversion
1-Jan-14,6244.55,6247.75,6224.9,6227.55,118174966,3071.33,18.23,2.87,1.47,8.848,8.848,8.848,8.848,0.0026,3472,98241.09,8579,52739.47,61.8488
2-Jan-14,6227.3,6279.55,6131.05,6140.25,249683508,7422.08,17.97,2.83,1.49,8.84,8.84,8.84,8.84,-0.0009,17950,516155.51,74376,453561.62,62.1502
3-Jan-14,6115,6145.5,6093.75,6136.85,201602653,6954.65,17.96,2.82,1.49,8.837,8.837,8.837,8.837,-0.0003,20481,594395.75,71279,423946.79,62.155
6-Jan-14,6146.7,6146.7,6101.25,6122,174240794,6232.43,17.92,2.82,1.49,8.784,8.784,8.784,8.784,-0.006,20948,609056.32,59549,350436.65,62.2633
7-Jan-14,6133.6,6150.8,6073.85,6087.95,206505714,7375.07,17.82,2.8,1.5,8.792,8.792,8.792,8.792,0.0009,18217,526119.87,56262,329849.12,62.21
8-Jan-14,6102.8,6119.75,6086.4,6100.9,217248358,7634.89,17.85,2.81,1.5,8.803,8.803,8.803,8.803,0.0013,16955,486977.95,64510,375966.84,62.1394
9-Jan-14,6107,6113.55,6069.7,6087.75,219494529,7676.93,17.82,2.8,1.5,8.792,8.792,8.792,8.792,-0.0012,15667,450800.95,59080,339846.43,62.0455
10-Jan-14,6098.75,6155.8,6059.95,6087.75,232316189,9384.65,17.76,2.8,1.5,8.76,8.76,8.76,8.76,-0.0036,16343,472258.69,81795,468216.29,61.6772
13-Jan-14,6103.7,6183.55,6103.7,6171.25,202692437,7633.86,18.02,2.84,1.48,8.712,8.712,8.712,8.712,-0.0055,13643,396549.17,63068,357613.25,61.4219
14-Jan-14,6159.5,6179.65,6138.25,6145.65,166338576,6129.08,17.94,2.83,1.49,#N/A,#N/A,#N/A,#N/A,#N/A,10952,319124.27,44064,250690.46,61.4322
15-Jan-14,6167.8,6219.3,6167.8,6215.35,215542523,8432.87,18.14,2.86,1.47,8.639,8.639,8.639,8.639,-0.0084,14423,417227.05,74959,431435.42,61.4898
16-Jan-14,6233.6,6238.25,6190.15,6204.55,222255955,8552.66,18.08,2.86,1.47,8.623,8.623,8.623,8.623,-0.0019,13331,386666.19,64528,374129.25,61.4999
17-Jan-14,6193.4,6211.3,6130.9,6145.35,248185619,9643.09,17.89,2.83,1.49,8.63,8.63,8.63,8.63,0.0008,16096,467811.93,70698,411026.02,61.5314
20-Jan-14,6144.85,6193.55,6129.8,6190.65,181346078,6967.8,17.83,2.85,1.48,8.518,8.518,8.518,8.518,-0.013,9198,269515.07,31225,181709.29,61.5874
21-Jan-14,6205.55,6217.85,6185.4,6199.85,204814833,7328.9,17.86,2.85,1.47,8.554,8.554,8.554,8.554,0.0042,19322,564249.49,70677,416687.61,61.8207
22-Jan-14,6195.5,6232.15,6176.7,6222.65,199117859,7174.1,17.92,2.86,1.47,8.608,8.608,8.608,8.608,0.0063,13360,389418.3,64244,383434.11,61.8051
23-Jan-14,6209.9,6234.55,6201.05,6226.05,196924597,7201.33,17.94,2.86,1.47,8.666,8.666,8.666,8.666,0.0067,30313,882065.45,74934,453094.55,61.9307
24-Jan-14,6186.75,6212.6,6142.55,6144.55,226929834,7837.01,17.71,2.82,1.49,8.741,8.741,8.741,8.741,0.0087,20678,605877.61,85031,518583.32,62.5417
27-Jan-14,6069.65,6069.65,6002.8,6008.45,266049649,8967.6,17.31,2.76,1.52,8.77,8.77,8.77,8.77,0.0033,15247,451758.35,72435,443553.31,63.0803
28-Jan-14,6005.35,6035.85,5963.4,5999.1,280490716,9856.42,17.28,2.76,1.52,8.751,8.751,8.751,8.751,-0.0022,15877,467590.43,67311,409924.87,62.5846
29-Jan-14,6033.05,6043.9,5989.8,5999.2,224227891,8222.39,17.27,2.76,1.52,8.777,8.777,8.777,8.777,0.003,21661,637791.72,75447,460466.21,62.5371
30-Jan-14,5946.7,5950.6,5902.9,5943,339453444,10814.37,17.11,2.73,1.54,8.823,8.823,8.823,8.823,0.0052,21616,633730.06,62519,385518.44,62.514
31-Jan-14,5954.4,5983.65,5943.25,5976,234086827,7616.52,17.16,2.75,1.53,8.788,8.788,8.788,8.788,-0.004,21488,623561.66,68028,418492.56,62.5687
3-Feb-14,5948.85,5963.7,5886.8,5893.5,205110105,6593.25,16.89,2.71,1.55,8.736,8.736,8.736,8.736,-0.0059,13578,391912.59,76259,465678.22,62.6169
4-Feb-14,5842.05,5912.25,5826.3,5896.35,272391740,8250.69,16.9,2.71,1.55,8.684,8.684,8.684,8.684,-0.006,14960,431149.06,51789,314714.95,62.4855
5-Feb-14,5901.05,5924.95,5864.25,5919.2,240882354,7647.67,16.96,2.72,1.54,8.711,8.711,8.711,8.711,0.0031,18373,530028.32,68288,417555.14,62.5269
6-Feb-14,5928,5947,5869.5,5934.35,260212847,8096.29,16.77,2.73,1.54,8.72,8.72,8.72,8.72,0.001,16231,467071.83,65440,401017.89,62.3182
7-Feb-14,5973.25,5975.5,5927.85,5958.25,250873593,7260.14,16.86,2.74,1.53,8.737,8.737,8.737,8.737,0.0019,16599,477539.57,62706,382751.45,62.1989
10-Feb-14,5967.75,5976.2,5938.95,5945.25,198968060,6317.11,16.83,2.74,1.54,8.693,8.693,8.693,8.693,-0.005,13445,389035.25,67502,420392.54,62.3504
11-Feb-14,5962.35,5973.2,5944.95,5953.25,212502468,6810.15,16.86,2.74,1.53,8.74,8.74,8.74,8.74,0.0054,17105,497398.42,57010,355487.69,62.1893
12-Feb-14,5976.2,5993.5,5962.8,5969.55,202759913,7083.34,16.9,2.75,1.53,8.811,8.811,8.811,8.811,0.0081,13087,380347.8,65246,407519.91,62.0542
13-Feb-14,5972.95,5978.45,5877.55,5887.45,207584818,6392.91,16.67,2.71,1.55,8.865,8.865,8.865,8.865,0.0061,12849,374349.7,54257,337719.05,62.3322
14-Feb-14,5908.7,5935.4,5868,5928.35,209076695,7207.48,16.79,2.73,1.54,8.809,8.809,8.809,8.809,-0.0063,13386,392526.59,57164,354385.59,61.8829
17-Feb-14,5937.85,5956.1,5918.4,5949.5,166637393,5721.22,16.84,2.74,1.53,8.806,8.806,8.806,8.806,-0.0003,23908,712823.91,36729,229084.54,61.791
18-Feb-14,5948.65,6016.1,5944.95,6002.5,186351934,6043.07,17.11,2.76,1.52,8.772,8.772,8.772,8.772,-0.0039,19938,599755.16,60739,381840.9,62.0918
19-Feb-14,6007.25,6033.75,6003.35,6027.55,145931258,5014.71,17.13,2.77,1.51,#N/A,#N/A,#N/A,#N/A,#N/A,20259,606854.19,68368,436983,62.2033
20-Feb-14,6000.9,6006.95,5969.6,5974,185498667,5679.07,16.98,2.75,1.53,8.789,8.789,8.789,8.789,0.0019,13083,390699.61,47090,302135.59,62.146
21-Feb-14,5990.35,6037.5,5990.35,6034,172812198,5297.77,16.88,2.77,1.51,8.795,8.795,8.795,8.795,0.0007,10241,305673.43,43590,277947.79,62.1017
24-Feb-14,6022.5,6064.05,6014.05,6059.1,195763890,5602.28,16.95,2.79,1.51,8.885,8.885,8.885,8.885,0.0102,11977,360081.6,55181,352027.98,62.0231
25-Feb-14,6078.4,6090.8,6052.2,6072.3,202239661,6042.92,16.99,2.79,1.5,8.875,8.875,8.875,8.875,-0.0011,13402,403734.17,56034,354194.93,61.9752
26-Feb-14,6075.4,6109.65,6075.4,6103.65,260248315,8554.04,17.08,2.81,1.5,8.918,8.918,8.918,8.918,0.0048,18564,558526.01,64496,410397.51,62.0445
27-Feb-14,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7734,232612.18,45028,286790.35,61.9673
28-Feb-14,6098.2,6151.9,6098.2,6146.3,309623405,11020.58,17.31,2.83,1.49,8.861,8.861,8.861,8.861,-0.0064,15132,456291.11,52438,332931.14,61.8354
3-Mar-14,6134.95,6151.1,6089.2,6099.05,215137849,6789.49,17.18,2.8,1.5,8.901,8.901,8.901,8.901,0.0045,16761,510302.12,79079,513410.12,62.0313
4-Mar-14,6095.75,6174.65,6095.75,6171.6,251837680,7511.21,17.38,2.84,1.48,8.839,8.839,8.839,8.839,-0.007,24543,742214.55,78970,508519.84,61.8911
5-Mar-14,6201.8,6209.5,6164,6202.5,261714352,8066.76,17.47,2.85,1.47,8.842,8.842,8.842,8.842,0.0003,19912,599800.13,71366,452740.77,61.8123
6-Mar-14,6218.75,6278.55,6215.4,6273.85,282863538,8217.62,17.67,2.88,1.46,8.794,8.794,8.794,8.794,-0.0054,20135,604008.03,82249,508355.63,61.1909
7-Mar-14,6287.6,6397.7,6287.6,6388.1,421541035,14655.19,17.99,2.94,1.43,8.812,8.812,8.812,8.812,0.002,17035,513152.08,73060,456614.97,61.1527
10-Mar-14,6355.5,6423.3,6355.5,6402,348646834,12827.57,18.03,2.94,1.43,8.755,8.755,8.755,8.755,-0.0065,11241,337358.88,66782,414189.38,60.9209
11-Mar-14,6403.45,6429.45,6357.35,6372.7,346994063,10915.36,17.95,2.93,1.43,8.735,8.735,8.735,8.735,-0.0023,20321,611554.13,69362,426842.36,60.9764
12-Mar-14,6359.65,6405.75,6351.15,6377.5,244611653,7977.57,17.96,2.93,1.43,8.718,8.718,8.718,8.718,-0.0019,17710,538115.41,88096,531484.41,61.1248
13-Mar-14,6357.35,6423.5,6334.75,6351.45,248921744,10449.41,17.89,2.92,1.44,8.738,8.738,8.738,8.738,0.0023,14854,451666.19,69908,419804.94,61.1486
14-Mar-14,6310.7,6374.05,6294.45,6362.3,257100877,9112.91,17.92,2.93,1.44,8.795,8.795,8.795,8.795,0.0065,18530,565705.52,69300,419204.81,61.1982
17-Mar-14,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4740,144206.49,31520,189167.3,61.1407
18-Mar-14,6388.85,6431.05,6367.8,6387.25,266389243,9436.2,17.99,2.94,1.43,8.805,8.805,8.805,8.805,0.0011,15070,454326.38,69247,417159.41,61.157
19-Mar-14,6402.55,6412.75,6379,6397.8,261192812,9972.94,18.03,2.94,1.43,8.78,8.78,8.78,8.78,-0.0028,16578,498096.62,83038,505126.41,61.0123
20-Mar-14,6382.8,6396.7,6347.85,6356.25,212236050,8077.51,17.92,2.92,1.44,8.82,8.82,8.82,8.82,0.0046,15748,469054.02,73720,449191.69,61.2851
21-Mar-14,6386.8,6393.95,6362.95,6370,262584846,10921.99,17.95,2.93,1.43,8.797,8.797,8.797,8.797,-0.0026,13292,395452.73,66875,407197.9,61.0498
